"Name","Runtime","Notes","Tags","growing_jump","target_state","loss","loss0","step","total_seconds"
"skilled-durian-1255","88","-","","0","sconf_image(""final/watch.png"")","0.009908297099173067","0.009908297099173067","898","85.64900135993958"
"dulcet-eon-1254","101","-","","0","sconf_image(""final/stress.png"")","0.00999233778566122","0.00999233778566122","1051","100.22499918937685"
"gallant-sunset-1253","154","-","","0","sconf_image(""final/rose.png"")","0.00996690895408392","0.00996690895408392","1591","151.66199946403503"
"light-pyramid-1252","161","-","","0","sconf_image(""final/pills.png"")","0.00999047514051199","0.00999047514051199","1684","159.1539945602417"
"grateful-planet-1251","142","-","","0","sconf_image(""final/peppers.png"")","0.008356310427188873","0.008356310427188873","1472","140.0320022106171"
"lemon-durian-1250","134","-","","0","sconf_image(""final/opera.png"")","0.009851772338151932","0.009851772338151932","1385","131.6219985485077"
"worthy-moon-1249","176","-","","0","sconf_image(""final/newyork.png"")","0.009744624607264996","0.009744624607264996","1823","173.6659963130951"
"unique-flower-1248","91","-","","0","sconf_image(""final/machine.png"")","0.00986439548432827","0.00986439548432827","934","88.86200022697449"
"hopeful-dragon-1247","86","-","","0","sconf_image(""final/lena.png"")","0.009483702480793","0.009483702480793","873","83.62499809265137"
"legendary-dragon-1246","140","-","","0","sconf_image(""final/lake.png"")","0.00961694587022066","0.00961694587022066","1454","139.1969997882843"
"lyric-oath-1245","121","-","","0","sconf_image(""final/kid.png"")","0.00986700877547264","0.00986700877547264","1250","118.3390007019043"
"cool-paper-1244","90","-","","0","sconf_image(""final/fontaine.png"")","0.009841148741543291","0.009841148741543291","925","87.68599796295166"
"fallen-violet-1243","178","-","","0","sconf_image(""final/f16.png"")","0.00993457343429327","0.00993457343429327","1824","175.63199877738953"
"fresh-lake-1242","75","-","","0","sconf_image(""final/f15.png"")","0.009703274816274645","0.009703274816274645","713","71.19599986076355"
"glad-breeze-1241","182","-","","0","sconf_image(""final/corrosion.png"")","0.009692982770502567","0.009692982770502567","1834","179.89299964904785"
"astral-moon-1240","114","-","","0","sconf_image(""final/cathedral.png"")","0.00936624314635992","0.00936624314635992","1180","112.10999965667725"
