"Name","total_seconds","target_state","growing_jump","edge_strategy"
"revived-butterfly-2519","128.5021457672119","sconf_image(""hard/rose.png"")","1","EdgeStrategy.MIRROR"
"proud-serenity-2518","62.334999084472656","sconf_image(""hard/rose.png"")","0","EdgeStrategy.TF_SAME"
"silvery-valley-2517","126.34918355941772","sconf_image(""hard/rose.png"")","0","EdgeStrategy.MIRROR"
"good-serenity-2516","83.41799139976501","sconf_image(""hard/pills.png"")","14","EdgeStrategy.TF_SAME"
"soft-sun-2515","108.9369797706604","sconf_image(""hard/pills.png"")","14","EdgeStrategy.MIRROR"
"leafy-puddle-2514","84.16599917411804","sconf_image(""hard/pills.png"")","13","EdgeStrategy.TF_SAME"
"icy-meadow-2513","142.538996219635","sconf_image(""hard/pills.png"")","13","EdgeStrategy.MIRROR"
"earnest-plasma-2512","88.07730603218079","sconf_image(""hard/pills.png"")","12","EdgeStrategy.TF_SAME"
"vocal-glade-2511","121.67200016975404","sconf_image(""hard/pills.png"")","12","EdgeStrategy.MIRROR"
"skilled-plasma-2510","80.38699722290039","sconf_image(""hard/pills.png"")","11","EdgeStrategy.TF_SAME"
"distinctive-paper-2509","109.45400047302246","sconf_image(""hard/pills.png"")","11","EdgeStrategy.MIRROR"
"cool-pine-2508","91.55899953842165","sconf_image(""hard/pills.png"")","10","EdgeStrategy.TF_SAME"
"comic-rain-2507","108.05498933792114","sconf_image(""hard/pills.png"")","10","EdgeStrategy.MIRROR"
"resilient-haze-2506","68.27699899673462","sconf_image(""hard/pills.png"")","9","EdgeStrategy.TF_SAME"
"earthy-brook-2505","99.8780026435852","sconf_image(""hard/pills.png"")","9","EdgeStrategy.MIRROR"
"clear-totem-2504","96.43599820137024","sconf_image(""hard/pills.png"")","8","EdgeStrategy.TF_SAME"
"woven-snowflake-2503","126.26699924468994","sconf_image(""hard/pills.png"")","8","EdgeStrategy.MIRROR"
"zany-sound-2502","77.5879967212677","sconf_image(""hard/pills.png"")","7","EdgeStrategy.TF_SAME"
"ethereal-donkey-2501","101.9529972076416","sconf_image(""hard/pills.png"")","7","EdgeStrategy.MIRROR"
"vivid-wildflower-2500","87.27105116844177","sconf_image(""hard/pills.png"")","6","EdgeStrategy.TF_SAME"
"legendary-eon-2499","110.09499788284302","sconf_image(""hard/pills.png"")","6","EdgeStrategy.MIRROR"
"radiant-wood-2498","94.89132690429688","sconf_image(""hard/pills.png"")","5","EdgeStrategy.TF_SAME"
"trim-snowflake-2497","105.02839279174805","sconf_image(""hard/pills.png"")","5","EdgeStrategy.MIRROR"
"golden-haze-2496","89.72351956367493","sconf_image(""hard/pills.png"")","4","EdgeStrategy.TF_SAME"
"spring-snowflake-2495","116.77899694442748","sconf_image(""hard/pills.png"")","4","EdgeStrategy.MIRROR"
"hopeful-surf-2494","92.10125803947447","sconf_image(""hard/pills.png"")","3","EdgeStrategy.TF_SAME"
"sparkling-vortex-2493","114.6009557247162","sconf_image(""hard/pills.png"")","3","EdgeStrategy.MIRROR"
"swift-blaze-2492","108.22599864006042","sconf_image(""hard/pills.png"")","2","EdgeStrategy.TF_SAME"
"floral-water-2491","163.7299976348877","sconf_image(""hard/pills.png"")","2","EdgeStrategy.MIRROR"
"happy-pond-2490","111.55999660491943","sconf_image(""hard/pills.png"")","1","EdgeStrategy.TF_SAME"
"legendary-disco-2489","135.9571192264557","sconf_image(""hard/pills.png"")","1","EdgeStrategy.MIRROR"
"genial-thunder-2488","76.58499765396118","sconf_image(""hard/pills.png"")","0","EdgeStrategy.TF_SAME"
"northern-dream-2487","118.21499919891356","sconf_image(""hard/pills.png"")","0","EdgeStrategy.MIRROR"
"helpful-brook-2486","60.769999742507935","sconf_image(""hard/peppers.png"")","14","EdgeStrategy.TF_SAME"
"genial-breeze-2485","116.87700271606444","sconf_image(""hard/peppers.png"")","14","EdgeStrategy.MIRROR"
"good-salad-2484","67.99400067329407","sconf_image(""hard/peppers.png"")","13","EdgeStrategy.TF_SAME"
"winter-plant-2483","146.68000149726868","sconf_image(""hard/peppers.png"")","13","EdgeStrategy.MIRROR"
"dutiful-moon-2482","62.76199007034302","sconf_image(""hard/peppers.png"")","12","EdgeStrategy.TF_SAME"
"glowing-wildflower-2481","106.5719964504242","sconf_image(""hard/peppers.png"")","12","EdgeStrategy.MIRROR"
"generous-elevator-2480","56.51400065422058","sconf_image(""hard/peppers.png"")","11","EdgeStrategy.TF_SAME"
"helpful-elevator-2479","107.09600162506104","sconf_image(""hard/peppers.png"")","11","EdgeStrategy.MIRROR"
"elated-thunder-2478","61.39199995994568","sconf_image(""hard/peppers.png"")","10","EdgeStrategy.TF_SAME"
"elated-pyramid-2477","116.7269959449768","sconf_image(""hard/peppers.png"")","10","EdgeStrategy.MIRROR"
"treasured-snowball-2476","50.83499884605408","sconf_image(""hard/peppers.png"")","9","EdgeStrategy.TF_SAME"
"lively-jazz-2475","93.7880003452301","sconf_image(""hard/peppers.png"")","9","EdgeStrategy.MIRROR"
"atomic-voice-2474","44.35600018501282","sconf_image(""hard/peppers.png"")","8","EdgeStrategy.TF_SAME"
"vital-tree-2473","96.81300354003906","sconf_image(""hard/peppers.png"")","8","EdgeStrategy.MIRROR"
"pious-bird-2472","50.85899615287781","sconf_image(""hard/peppers.png"")","7","EdgeStrategy.TF_SAME"
"denim-water-2471","100.83799958229064","sconf_image(""hard/peppers.png"")","7","EdgeStrategy.MIRROR"
"wise-sponge-2470","68.06149673461914","sconf_image(""hard/peppers.png"")","6","EdgeStrategy.TF_SAME"
"golden-forest-2469","114.743999004364","sconf_image(""hard/peppers.png"")","6","EdgeStrategy.MIRROR"
"true-wave-2468","71.30400371551514","sconf_image(""hard/peppers.png"")","5","EdgeStrategy.TF_SAME"
"deft-leaf-2467","104.836998462677","sconf_image(""hard/peppers.png"")","5","EdgeStrategy.MIRROR"
"fearless-gorge-2466","72.24599933624268","sconf_image(""hard/peppers.png"")","4","EdgeStrategy.TF_SAME"
"robust-salad-2465","108.44299936294556","sconf_image(""hard/peppers.png"")","4","EdgeStrategy.MIRROR"
"fast-valley-2464","64.48091506958008","sconf_image(""hard/peppers.png"")","3","EdgeStrategy.TF_SAME"
"ruby-fog-2463","98.37296986579896","sconf_image(""hard/peppers.png"")","3","EdgeStrategy.MIRROR"
"sunny-darkness-2462","77.5000011920929","sconf_image(""hard/peppers.png"")","2","EdgeStrategy.TF_SAME"
"spring-plant-2461","104.5389952659607","sconf_image(""hard/peppers.png"")","2","EdgeStrategy.MIRROR"
"usual-tree-2460","89.6638536453247","sconf_image(""hard/peppers.png"")","1","EdgeStrategy.TF_SAME"
"vague-smoke-2459","116.90233325958252","sconf_image(""hard/peppers.png"")","1","EdgeStrategy.MIRROR"
"spring-disco-2458","52.55499982833862","sconf_image(""hard/peppers.png"")","0","EdgeStrategy.TF_SAME"
"vibrant-surf-2457","100.1930022239685","sconf_image(""hard/peppers.png"")","0","EdgeStrategy.MIRROR"
"silvery-dream-2456","41.87898850440979","sconf_image(""hard/lena.png"")","14","EdgeStrategy.TF_SAME"
"bright-cloud-2455","80.45599865913391","sconf_image(""hard/lena.png"")","14","EdgeStrategy.MIRROR"
"sage-glade-2454","60.59432530403137","sconf_image(""hard/lena.png"")","13","EdgeStrategy.TF_SAME"
"lyric-mountain-2453","100.47999620437622","sconf_image(""hard/lena.png"")","13","EdgeStrategy.MIRROR"
"light-water-2452","66.87400102615356","sconf_image(""hard/lena.png"")","12","EdgeStrategy.TF_SAME"
"iconic-sponge-2451","87.53499746322632","sconf_image(""hard/lena.png"")","12","EdgeStrategy.MIRROR"
"toasty-leaf-2450","56.0829975605011","sconf_image(""hard/lena.png"")","11","EdgeStrategy.TF_SAME"
"playful-galaxy-2449","97.5319983959198","sconf_image(""hard/lena.png"")","11","EdgeStrategy.MIRROR"
"vocal-valley-2448","50.153000354766846","sconf_image(""hard/lena.png"")","10","EdgeStrategy.TF_SAME"
"distinctive-elevator-2447","73.97700238227844","sconf_image(""hard/lena.png"")","10","EdgeStrategy.MIRROR"
"worldly-resonance-2446","43.39600229263306","sconf_image(""hard/lena.png"")","9","EdgeStrategy.TF_SAME"
"zesty-totem-2445","71.87700009346008","sconf_image(""hard/lena.png"")","9","EdgeStrategy.MIRROR"
"happy-spaceship-2444","50.71999931335449","sconf_image(""hard/lena.png"")","8","EdgeStrategy.TF_SAME"
"scarlet-dew-2443","90.38499641418456","sconf_image(""hard/lena.png"")","8","EdgeStrategy.MIRROR"
"revived-grass-2442","46.44099950790405","sconf_image(""hard/lena.png"")","7","EdgeStrategy.TF_SAME"
"youthful-sky-2441","68.06300067901611","sconf_image(""hard/lena.png"")","7","EdgeStrategy.MIRROR"
"bumbling-totem-2440","56.90800452232361","sconf_image(""hard/lena.png"")","6","EdgeStrategy.TF_SAME"
"icy-snowball-2439","78.04600167274475","sconf_image(""hard/lena.png"")","6","EdgeStrategy.MIRROR"
"fancy-snowball-2438","76.37899971008301","sconf_image(""hard/lena.png"")","5","EdgeStrategy.TF_SAME"
"light-waterfall-2437","82.7419958114624","sconf_image(""hard/lena.png"")","5","EdgeStrategy.MIRROR"
"helpful-moon-2436","52.088000535964966","sconf_image(""hard/lena.png"")","4","EdgeStrategy.TF_SAME"
"lively-dragon-2435","78.09500074386597","sconf_image(""hard/lena.png"")","4","EdgeStrategy.MIRROR"
"solar-river-2434","66.77499747276306","sconf_image(""hard/lena.png"")","3","EdgeStrategy.TF_SAME"
"devoted-glitter-2433","92.67799830436708","sconf_image(""hard/lena.png"")","3","EdgeStrategy.MIRROR"
"true-cloud-2432","73.21799921989441","sconf_image(""hard/lena.png"")","2","EdgeStrategy.TF_SAME"
"peach-shadow-2431","98.3870017528534","sconf_image(""hard/lena.png"")","2","EdgeStrategy.MIRROR"
"vital-energy-2430","71.32445120811462","sconf_image(""hard/lena.png"")","1","EdgeStrategy.TF_SAME"
"exalted-dust-2429","108.40700006484984","sconf_image(""hard/lena.png"")","1","EdgeStrategy.MIRROR"
"vocal-frost-2428","43.370999813079834","sconf_image(""hard/lena.png"")","0","EdgeStrategy.TF_SAME"
"faithful-donkey-2427","98.12999486923218","sconf_image(""hard/lena.png"")","0","EdgeStrategy.MIRROR"
"dandy-durian-2426","48.90899920463562","sconf_image(""hard/arch.png"")","14","EdgeStrategy.TF_SAME"
"rich-thunder-2425","77.02799963951111","sconf_image(""hard/arch.png"")","14","EdgeStrategy.MIRROR"
"upbeat-shape-2424","91.44299507141112","sconf_image(""hard/arch.png"")","13","EdgeStrategy.TF_SAME"
"rosy-haze-2423","113.0219976902008","sconf_image(""hard/arch.png"")","13","EdgeStrategy.MIRROR"
"giddy-serenity-2422","72.60100102424622","sconf_image(""hard/arch.png"")","12","EdgeStrategy.TF_SAME"
"generous-tree-2421","92.98299527168274","sconf_image(""hard/arch.png"")","12","EdgeStrategy.MIRROR"
"astral-feather-2420","81.7040011882782","sconf_image(""hard/arch.png"")","11","EdgeStrategy.TF_SAME"
"smooth-cloud-2419","113.3360002040863","sconf_image(""hard/arch.png"")","11","EdgeStrategy.MIRROR"
"trim-plant-2418","55.495420932769775","sconf_image(""hard/arch.png"")","10","EdgeStrategy.TF_SAME"
"light-bee-2417","103.3860034942627","sconf_image(""hard/arch.png"")","10","EdgeStrategy.MIRROR"
"sleek-butterfly-2416","53.20299935340881","sconf_image(""hard/arch.png"")","9","EdgeStrategy.TF_SAME"
"feasible-wildflower-2415","111.50599956512453","sconf_image(""hard/arch.png"")","9","EdgeStrategy.MIRROR"
"feasible-pyramid-2414","80.96900153160095","sconf_image(""hard/arch.png"")","8","EdgeStrategy.TF_SAME"
"wise-dew-2413","113.70599007606506","sconf_image(""hard/arch.png"")","8","EdgeStrategy.MIRROR"
"wise-sound-2412","70.82300066947937","sconf_image(""hard/arch.png"")","7","EdgeStrategy.TF_SAME"
"misunderstood-grass-2411","106.343998670578","sconf_image(""hard/arch.png"")","7","EdgeStrategy.MIRROR"
"woven-firebrand-2410","62.48799920082092","sconf_image(""hard/arch.png"")","6","EdgeStrategy.TF_SAME"
"firm-puddle-2409","95.57300162315369","sconf_image(""hard/arch.png"")","6","EdgeStrategy.MIRROR"
"bright-disco-2408","85.70198035240173","sconf_image(""hard/arch.png"")","5","EdgeStrategy.TF_SAME"
"scarlet-pyramid-2407","114.56799983978271","sconf_image(""hard/arch.png"")","5","EdgeStrategy.MIRROR"
"driven-serenity-2406","73.9599974155426","sconf_image(""hard/arch.png"")","4","EdgeStrategy.TF_SAME"
"spring-snowball-2405","95.66947078704834","sconf_image(""hard/arch.png"")","4","EdgeStrategy.MIRROR"
"dandy-dew-2404","80.82699966430664","sconf_image(""hard/arch.png"")","3","EdgeStrategy.TF_SAME"
