"Name","target_state","total_seconds"
"tough-leaf-4114","sconf_image(""hard/arch.png"")","240.01899886131287"
"sweet-totem-4113","sconf_imagestack(""hard/water.png"", ""hard/water.png"")","215.3449993133545"
"clear-water-4112","sconf_imagestack(""hard/water.png"", ""hard/rose.png"")","264.5269989967346"
"gentle-wildflower-4111","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","317.8780016899109"
"olive-morning-4110","sconf_imagestack(""hard/water.png"", ""hard/peppers.png"")","327.8869984149933"
"desert-lion-4109","sconf_imagestack(""hard/water.png"", ""hard/lena.png"")","316.44199991226196"
"azure-bee-4108","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","374.7730007171631"
"fast-sun-4107","sconf_image(""hard/water.png"")","143.78799891471863"
"dark-bird-4106","sconf_imagestack(""hard/rose.png"", ""hard/water.png"")","376.7669994831085"
"prime-snowflake-4105","sconf_imagestack(""hard/rose.png"", ""hard/rose.png"")","441.2319996356964"
"classic-sun-4104","sconf_imagestack(""hard/rose.png"", ""hard/pills.png"")","276.94597864151"
"swept-vortex-4103","sconf_imagestack(""hard/rose.png"", ""hard/peppers.png"")","298.26299929618835"
"rose-bush-4102","sconf_imagestack(""hard/rose.png"", ""hard/lena.png"")","213.79600024223328"
"sunny-sea-4101","sconf_imagestack(""hard/rose.png"", ""hard/arch.png"")","321.3199999332428"
"autumn-darkness-4100","sconf_image(""hard/rose.png"")","202.9129993915558"
"dutiful-violet-4099","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","493.9520001411438"
"chocolate-star-4098","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","291.44099855422974"
"wobbly-thunder-4097","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","379.2669994831085"
"whole-flower-4096","sconf_imagestack(""hard/pills.png"", ""hard/peppers.png"")","467.99299597740173"
"avid-frost-4095","sconf_imagestack(""hard/pills.png"", ""hard/lena.png"")","414.5509994029999"
"giddy-puddle-4094","sconf_imagestack(""hard/pills.png"", ""hard/arch.png"")","391.45600152015686"
"ancient-cosmos-4093","sconf_image(""hard/pills.png"")","185.44600200653076"
"pleasant-oath-4092","sconf_imagestack(""hard/peppers.png"", ""hard/water.png"")","324.55200004577637"
"decent-planet-4091","sconf_imagestack(""hard/peppers.png"", ""hard/rose.png"")","420.7810001373291"
"dainty-deluge-4090","sconf_imagestack(""hard/peppers.png"", ""hard/pills.png"")","334.9049959182739"
"likely-haze-4089","sconf_imagestack(""hard/peppers.png"", ""hard/peppers.png"")","239.5389986038208"
"revived-oath-4088","sconf_imagestack(""hard/peppers.png"", ""hard/lena.png"")","286.64499831199646"
"lunar-wave-4087","sconf_imagestack(""hard/peppers.png"", ""hard/arch.png"")","258.65799832344055"
"polished-meadow-4086","sconf_image(""hard/peppers.png"")","109.11699891090392"
"different-eon-4085","sconf_imagestack(""hard/lena.png"", ""hard/water.png"")","287.19999980926514"
"electric-bee-4084","sconf_imagestack(""hard/lena.png"", ""hard/rose.png"")","479.0870006084442"
"solar-water-4083","sconf_imagestack(""hard/lena.png"", ""hard/pills.png"")","316.1529986858368"
"restful-plant-4082","sconf_imagestack(""hard/lena.png"", ""hard/peppers.png"")","278.5940001010895"
"fresh-wave-4081","sconf_imagestack(""hard/lena.png"", ""hard/lena.png"")","152.62599778175354"
"lemon-durian-4080","sconf_imagestack(""hard/lena.png"", ""hard/arch.png"")","308.4829971790314"
"ethereal-dream-4079","sconf_image(""hard/lena.png"")","108.79899978637695"
"breezy-bush-4078","sconf_imagestack(""hard/arch.png"", ""hard/water.png"")","269.0770003795624"
"rural-snowball-4077","sconf_imagestack(""hard/arch.png"", ""hard/rose.png"")","316.1319954395294"
"comic-dragon-4076","sconf_imagestack(""hard/arch.png"", ""hard/pills.png"")","415.9949994087219"
"whole-frog-4075","sconf_imagestack(""hard/arch.png"", ""hard/peppers.png"")","319.66199803352356"
"gallant-dream-4074","sconf_imagestack(""hard/arch.png"", ""hard/lena.png"")","330.72999811172485"
"fluent-violet-4073","sconf_imagestack(""hard/arch.png"", ""hard/arch.png"")","344.37399911880493"
"royal-sun-4072","sconf_image(""hard/arch.png"")","241.20500016212463"
"ruby-plasma-4071","sconf_imagestack(""hard/water.png"", ""hard/water.png"")","242.38499999046329"
"prime-shadow-4070","sconf_imagestack(""hard/water.png"", ""hard/rose.png"")","291.7749996185303"
"dulcet-wood-4069","sconf_imagestack(""hard/water.png"", ""hard/pills.png"")","372.59698939323425"
"proud-thunder-4068","sconf_imagestack(""hard/water.png"", ""hard/peppers.png"")","253.42899775505063"
"distinctive-cherry-4067","sconf_imagestack(""hard/water.png"", ""hard/lena.png"")","235.57299494743347"
"cool-sponge-4066","sconf_imagestack(""hard/water.png"", ""hard/arch.png"")","302.402996301651"
"visionary-elevator-4065","sconf_image(""hard/water.png"")","150.4709990024567"
"smooth-flower-4064","sconf_imagestack(""hard/rose.png"", ""hard/water.png"")","358.0169985294342"
"summer-frog-4063","sconf_imagestack(""hard/rose.png"", ""hard/rose.png"")","287.1659996509552"
"dulcet-thunder-4062","sconf_imagestack(""hard/rose.png"", ""hard/pills.png"")","434.44799733161926"
"pretty-lion-4061","sconf_imagestack(""hard/rose.png"", ""hard/peppers.png"")","371.5789983272553"
"valiant-plant-4060","sconf_imagestack(""hard/rose.png"", ""hard/lena.png"")","221.15199971199036"
"expert-water-4059","sconf_imagestack(""hard/rose.png"", ""hard/arch.png"")","372.0770003795624"
"ethereal-sound-4058","sconf_image(""hard/rose.png"")","310.9159998893738"
"exalted-bird-4057","sconf_imagestack(""hard/pills.png"", ""hard/water.png"")","443.41099858284"
"kind-jazz-4056","sconf_imagestack(""hard/pills.png"", ""hard/rose.png"")","462.5190007686615"
"effortless-glade-4055","sconf_imagestack(""hard/pills.png"", ""hard/pills.png"")","446.9709997177124"
