"Name","Runtime","Notes","Tags","kernel_set","target_state","loss","loss0","step","total_seconds"
"noble-haze-4388","180","-","","kernel_sobel()","sconf_image(""final/lake.png"")","0.009454612620174885","0.009454612620174885","1947","177.55399990081787"
"exalted-dust-4387","145","-","","kernel_neighbors()","sconf_image(""final/kid.png"")","0.009699958376586435","0.009699958376586435","1035","143.2809989452362"
"splendid-sun-4386","95","-","","kernel_sobel()","sconf_image(""final/kid.png"")","0.009926383383572102","0.009926383383572102","996","92.79500222206116"
"classic-pine-4385","181","-","","kernel_neighbors()","sconf_image(""final/fontaine.png"")","0.009639659896492958","0.009639659896492958","1302","179.24199652671814"
"valiant-darkness-4384","101","-","","kernel_sobel()","sconf_image(""final/fontaine.png"")","0.00837009772658348","0.00837009772658348","1076","98.54300212860107"
"noble-meadow-4383","325","-","","kernel_neighbors()","sconf_image(""final/f16.png"")","0.009472561068832874","0.009472561068832874","2344","322.1469988822937"
"twilight-blaze-4382","151","-","","kernel_sobel()","sconf_image(""final/f16.png"")","0.00969512853771448","0.00969512853771448","1626","148.81499814987183"
"kind-butterfly-4381","144","-","","kernel_neighbors()","sconf_image(""final/f15.png"")","0.009913797490298748","0.009913797490298748","1021","142.29399943351746"
"eternal-sponge-4380","80","-","","kernel_sobel()","sconf_image(""final/f15.png"")","0.00971879344433546","0.00971879344433546","828","77.38800001144409"
"deep-elevator-4379","579","-","","kernel_neighbors()","sconf_image(""final/corrosion.png"")","0.008907937444746494","0.008907937444746494","4270","576.6479983329773"
"fiery-terrain-4378","104","-","","kernel_sobel()","sconf_image(""final/corrosion.png"")","0.009410322643816473","0.009410322643816473","1085","101.43899726867676"
"bumbling-sunset-4377","387","-","","kernel_neighbors()","sconf_image(""final/cathedral.png"")","0.009967644698917866","0.009967644698917866","2867","384.6689991950989"
"sandy-jazz-4376","143","-","","kernel_sobel()","sconf_image(""final/cathedral.png"")","0.009287278167903423","0.009287278167903423","1525","140.46999859809875"
"decent-darkness-4375","176","-","","kernel_neighbors()","sconf_image(""final/bonito.png"")","0.009721113368868828","0.009721113368868828","1291","173.58999848365784"
"flowing-valley-4374","93","-","","kernel_sobel()","sconf_image(""final/bonito.png"")","0.009435194544494152","0.009435194544494152","991","91.03799867630003"
"hopeful-music-4373","267","-","","kernel_neighbors()","sconf_image(""final/boat.png"")","0.009397859685122969","0.009397859685122969","1973","265.3739969730377"
"visionary-leaf-4372","151","-","","kernel_sobel()","sconf_image(""final/boat.png"")","0.00972325261682272","0.00972325261682272","1626","148.65499997138977"
"different-mountain-4371","355","-","","kernel_neighbors()","sconf_image(""final/bear.png"")","0.009086900390684605","0.009086900390684605","2650","352.91799783706665"
"dainty-oath-4370","86","-","","kernel_sobel()","sconf_image(""final/bear.png"")","0.00999524537473917","0.00999524537473917","912","83.97200012207031"
"wobbly-night-4369","239","-","","kernel_neighbors()","sconf_image(""final/beach.png"")","0.009828145615756512","0.009828145615756512","1755","236.01598000526428"
"iconic-star-4368","49","-","","kernel_sobel()","sconf_image(""final/beach.png"")","0.009994097985327244","0.009994097985327244","494","46.31400227546692"
"twilight-hill-4367","336","-","","kernel_neighbors()","sconf_image(""final/baboon.png"")","0.009706503711640837","0.009706503711640837","2499","334.2649986743927"
"crimson-music-4366","92","-","","kernel_sobel()","sconf_image(""final/baboon.png"")","0.009243452921509744","0.009243452921509744","993","90.00800108909607"
"laced-bush-4365","562","-","","kernel_neighbors()","sconf_image(""final/arctic.png"")","0.00980280339717865","0.00980280339717865","4180","559.7009952068329"
"stellar-hill-4364","193","-","","kernel_sobel()","sconf_image(""final/arctic.png"")","0.009628710336983204","0.009628710336983204","2096","191.2289986610413"
"swift-fog-4363","543","-","","kernel_neighbors()","sconf_image(""final/arch.png"")","0.009883328340947628","0.009883328340947628","4042","542.0369985103607"
"golden-deluge-4362","153","-","","kernel_sobel()","sconf_image(""final/arch.png"")","0.009798945859074593","0.009798945859074593","1629","150.650000333786"
