Trial number, Nucleation X, Nucleation Y, Min Loss 
0,0.25,0.875,0.008583677
1,0.25,0.875,0.00541209
2,0.25,0.875,0.0034337584
3,0.25,0.875,0.00316131
4,0.25,0.875,0.0052983235
5,0.25,0.875,0.0044570044
6,0.25,0.875,0.0031327691
7,0.25,0.875,0.0026046233
8,0.25,0.875,0.006223126
9,0.25,0.875,0.011086826
0,0.375,0.0,0.010670031
1,0.375,0.0,0.0037430944
2,0.375,0.0,0.0042056106
3,0.375,0.0,0.0026096867
4,0.375,0.0,0.0029597178
5,0.375,0.0,0.006305386
6,0.375,0.0,0.0049491585
7,0.375,0.0,0.0058549405
8,0.375,0.0,0.004543964
9,0.375,0.0,0.0032348994
0,0.375,0.125,0.0040390743
1,0.375,0.125,0.0029915348
2,0.375,0.125,0.003727197
3,0.375,0.125,0.0042106924
4,0.375,0.125,0.0039218427
5,0.375,0.125,0.0019828733
6,0.375,0.125,0.0028828883
7,0.375,0.125,0.004922526
8,0.375,0.125,0.009004309
9,0.375,0.125,0.0029851731
0,0.375,0.25,0.004848456
1,0.375,0.25,0.0043660547
2,0.375,0.25,0.0028121881
3,0.375,0.25,0.008090994
4,0.375,0.25,0.0028459558
5,0.375,0.25,0.007212613
6,0.375,0.25,0.0045571933
7,0.375,0.25,0.0071294713
8,0.375,0.25,0.0033229662
9,0.375,0.25,0.0017380406
0,0.375,0.375,0.0021158622
1,0.375,0.375,0.0028682947
2,0.375,0.375,0.0035817747
3,0.375,0.375,0.0027014595
4,0.375,0.375,0.003360606
5,0.375,0.375,0.0031876347
6,0.375,0.375,0.002633932
7,0.375,0.375,0.0031311994
8,0.375,0.375,0.0033446262
9,0.375,0.375,0.0018222654
0,0.375,0.5,0.0014275502
1,0.375,0.5,0.002482197
2,0.375,0.5,0.00734078
3,0.375,0.5,0.0026560547
4,0.375,0.5,0.0026718823
5,0.375,0.5,0.00730061
6,0.375,0.5,0.0028577342
7,0.375,0.5,0.0025592481
8,0.375,0.5,0.004823332
9,0.375,0.5,0.003428176
0,0.375,0.625,0.0049441564
1,0.375,0.625,0.0048049777
2,0.375,0.625,0.00381212
3,0.375,0.625,0.0063175918
4,0.375,0.625,0.0023361677
5,0.375,0.625,0.00250047
6,0.375,0.625,0.0026794598
7,0.375,0.625,0.003993203
8,0.375,0.625,0.0042166715
9,0.375,0.625,0.0016943448
0,0.375,0.75,0.0031151893
1,0.375,0.75,0.009447146
2,0.375,0.75,0.0069355103
3,0.375,0.75,0.0027437776
4,0.375,0.75,0.00501574
5,0.375,0.75,0.0045199133
6,0.375,0.75,0.002441088
7,0.375,0.75,0.010283873
8,0.375,0.75,0.00998314
9,0.375,0.75,0.002750678
0,0.375,0.875,0.0029384082
1,0.375,0.875,0.0035372637
2,0.375,0.875,0.0056474973
3,0.375,0.875,0.008052151
4,0.375,0.875,0.0016264031
5,0.375,0.875,0.0025217382
6,0.375,0.875,0.008155468
7,0.375,0.875,0.003330759
8,0.375,0.875,0.0024337785
9,0.375,0.875,0.0032867792
0,0.5,0.0,0.0047925413
1,0.5,0.0,0.008718143
2,0.5,0.0,0.0063017276
3,0.5,0.0,0.0070258672
4,0.5,0.0,0.0026828845
5,0.5,0.0,0.005935619
6,0.5,0.0,0.0052589043
7,0.5,0.0,0.003415054
8,0.5,0.0,0.0075951815
9,0.5,0.0,0.004053967
0,0.5,0.125,0.006003555
1,0.5,0.125,0.0015604282
2,0.5,0.125,0.004635575
